,cnpj,raiz_cnpj,matriz_filial,razao_social,opcao_pelo_simples,capital_social
8,714851000104,714851,MATRIZ,MKT SERVICOS DE MARKETING E TECNOLOGIA - EIRELI,NAO,320000
11,846686000136,846686,MATRIZ,HORUS INFORMATICA LTDA,NAO,200000
14,1302359000186,1302359,MATRIZ,UNIWARE CONS E COMERCIO DE EQUIP P/ INFORMATICA LTDA,NAO,60000
26,2265894000177,2265894,MATRIZ,ISO ENTERPRISE INFORMATICA LTDA,NAO,259999
35,2904609000110,2904609,MATRIZ,FATOR I CONSULTORIA LTDA,NAO,25000
42,3158860000146,3158860,MATRIZ,PELISSARI INFORMATICA SA,NAO,6500500
50,3456658000109,3456658,MATRIZ,PLANETAWEB INFORMATICA LTDA,SIM,50000
52,3650551000199,3650551,MATRIZ,WELAB.BUSINESS COMUNICACAO DIGITAL EIRELI,NAO,250000
56,3768803000189,3768803,MATRIZ,MITI - MIDIA INTERATIVA E TECNOLOGIA DA INFORMACAO LTDA,NAO,5472116
58,3842870000104,3842870,MATRIZ,FERAWEB INFORMATICA LTDA,NAO,15000
59,3869517000100,3869517,MATRIZ,AMBX TECNOLOGIA LTDA,NAO,500000
61,3942659000155,3942659,MATRIZ,VIGA NETSTORE LTDA,NAO,60000
65,4055839000188,4055839,MATRIZ,TEROS INFORMATICA LTDA,SIM,10000
66,4067290000141,4067290,MATRIZ,DHBYTE SOFTWARE ESPECIALISTA S/S LTDA,NAO,10000
72,4358494000131,4358494,MATRIZ,CINQ TECHNOLOGIES LTDA,NAO,7990586
85,4915134000193,4915134,MATRIZ,DRZ GEOTECNOLOGIA E CONSULTORIA LTDA,NAO,2000000
93,5138645000109,5138645,MATRIZ,M2A TECNOLOGIA E GESTAO DA INFORMACAO - EIRELI,NAO,67800
95,5159145000153,5159145,MATRIZ,"IDDEIA COMERCIO, LOCACAO E SOLUCOES TECNOLOGICAS EIRELI",NAO,4500000
103,5422311000162,5422311,MATRIZ,KAIZENDO SOLUCOES E SISTEMAS PARA MELHORIA LTDA,SIM,240000
