,cnpj,raiz_cnpj,matriz_filial,razao_social,opcao_pelo_simples,capital_social
3,358376000172,358376,MATRIZ,SARTOR ASSESSORIA E COMERCIO DE INFORMATICA LTDA,SIM,0
4,563375000160,563375,MATRIZ,INDEXX INFORMATICA LTDA,SIM,0
5,586312000129,586312,MATRIZ,DATAMICRO SISTEMAS LTDA,SIM,0
6,587384000190,587384,MATRIZ,INOVATIVA INFORMATICA LTDA,SIM,0
10,841331000154,841331,MATRIZ,SOFTNEW SISTEMAS E CONSULTORIA EM INFORMATICA LTDA,SIM,15000
17,1413885000113,1413885,MATRIZ,SIX TECH DESENVOLVIMENTO SISTEMAS DE INFORMATICA LTDA,SIM,0
18,1493662000103,1493662,MATRIZ,TRIPLICE CONSULTORIA E SERVICOS LTDA,SIM,50000
28,2314840000154,2314840,MATRIZ,UNIDAC CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,100000
29,2318794000161,2318794,MATRIZ,EVERTON RAMOS DE MORAES EIRELI,SIM,105000
30,2437196000101,2437196,MATRIZ,"LUMINA - INFORMATICA, CONSULTORIA E SERVICOS LTDA",SIM,20000
32,2622879000139,2622879,MATRIZ,C R NET LTDA,SIM,60000
49,3441246000197,3441246,MATRIZ,GOLDEN IT LTDA,SIM,0
50,3456658000109,3456658,MATRIZ,PLANETAWEB INFORMATICA LTDA,SIM,50000
55,3706036000183,3706036,MATRIZ,QUALIDIG LTDA,SIM,1000
57,3801285000158,3801285,MATRIZ,CG SISTEMAS E SERVICOS DE INFORMATICA LTDA,SIM,1000
65,4055839000188,4055839,MATRIZ,TEROS INFORMATICA LTDA,SIM,10000
69,4246459000120,4246459,MATRIZ,BOEIRA TECNOLOGIA DA INFORMACAO LTDA,SIM,0
70,4340744000106,4340744,MATRIZ,TECHNORIVER INFORMATICA LTDA,SIM,10000
74,4410157000146,4410157,MATRIZ,PROSOFTIN CONSULTORIA E SISTEMAS LTDA,SIM,0
78,4516228000190,4516228,MATRIZ,AQUI VANTAGENS.COM ADMINISTRACAO CARTOES DE DESCONTO E TELECOMUNICACOES LTDA,SIM,0
87,5023602000188,5023602,MATRIZ,ASSERTIVA TECH CONSULTORIA EM TI LTDA,SIM,8000
88,5028586000116,5028586,MATRIZ,GLOBAL CASE CONSULTORIA E ASSESSORIA LTDA,SIM,0
90,5042138000177,5042138,MATRIZ,TECJUMP TECNOLOGIA EM INFORMATICA LTDA,SIM,0
100,5339050000111,5339050,MATRIZ,PORTO'S INFORMATICA LTDA,SIM,3000
101,5357530000105,5357530,MATRIZ,GLOBALWIDE TECNOLOGIA E INFORMATICA LTDA,SIM,10000
103,5422311000162,5422311,MATRIZ,KAIZENDO SOLUCOES E SISTEMAS PARA MELHORIA LTDA,SIM,240000
104,5448669000164,5448669,MATRIZ,MAURICIO RIBEIRO INFORMATICA LTDA,SIM,100000
121,5975597000103,5975597,MATRIZ,HLEBANIA & CIA. LTDA,SIM,0
122,5996262000171,5996262,MATRIZ,MASTER&PRO CONSULTORIA E DESENVOLVIMENTO DE PROGRAMAS LTDA,SIM,10000
123,6015379000190,6015379,MATRIZ,FIAPO LABS TECNOLOGIA DA INFORMACAO LTDA,SIM,10000
125,6153856000183,6153856,MATRIZ,ISOLVE - SOLUCOES EM INFORMATICA LTDA,SIM,15000
127,6277224000121,6277224,MATRIZ,EQUIPE DIGITAL TECNOLOGIA LTDA,SIM,70000
128,6290671000110,6290671,MATRIZ,AMBIENTE LIVRE ASSESSORIA EM SISTEMAS DE INFORMATICA LTDA,SIM,120000
130,6867750000141,6867750,MATRIZ,ITECNOLOGYS CONSULTORIA EM SISTEMAS LTDA,SIM,300000
